,Unnamed: 0.1,SchoolCode,CohortStudents,Dropout (Count),Dropout Rate,Unnamed: 0,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,FundPerStudent,Educational Option Type,Enrollment (K-12),Free Meal Count (K-12),Percent (%) Eligible Free (K-12),Low Grade,High Grade,Enrollment (Ages 5-17),TotalFTE,ClearFTE,OtherFTE,EnrollmentTotal,EnrollmentWhite,EnrollmentBlack,EnrollmentAsian,EnrollmentHispanic,EnrollmentNative,CountyMedianIncome,MedianIncome,TotalCourses,TotalEnrollment,UCCSUCourses,UCCSUEnrollment,StaffACourses,StaffAEnrollment,StaffBCourses,StaffBEnrollment,StaffNCourses,StaffNEnrollment,NCLBCoreCourses,NCLBEnrollment
1315,1242,1939149,8148.0,60.0,0.0073637702503681,1939149,Walnut High,73460,Walnut Valley Unified,19,Los Angeles,30975.46603252892,Traditional,2179,509,0.2335933914639743,9,12,2159,99.46,83.05,14.96,2246.0,123,39,1100,712,*,35925,"106,290",601,13894,453.0,10985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1316,1666,1932862,8696.0,80.0,0.0091996320147194,1932862,Diamond Bar High,73460,Walnut Valley Unified,19,Los Angeles,30975.46603252892,Traditional,2534,551,0.2174427782162588,9,12,2498,99.84,78.56,19.58,2566.0,198,62,1616,465,*,35925,"106,290",615,15829,459.0,12955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317,889,1937754,3576.0,88.0,0.0246085011185682,1937754,San Marino High,64964,San Marino Unified,19,Los Angeles,23489.599026696327,Traditional,869,72,0.0828538550057537,9,12,845,49.27,42.9,4.27,960.0,230,*,534,62,*,35925,"165,500",280,6564,231.0,5450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1318,891,3330396,8356.0,340.0,0.0406893250359023,3330396,Canyon Springs High,67124,Moreno Valley Unified,33,Riverside,33693.24711361687,Traditional,2240,988,0.4410714285714285,9,12,2196,100.47,87.62,4.13,2328.0,225,331,36,1601,*,35590,"71,545",435,10775,331.0,8709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1319,902,3330438,9784.0,220.0,0.0224856909239574,3330438,Valley View High,67124,Moreno Valley Unified,33,Riverside,33693.24711361687,Traditional,2912,1168,0.4010989010989011,9,12,2860,121.44,106.59,4.84,2970.0,255,399,77,2073,*,35590,"71,545",483,13114,373.0,10601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320,991,3330800,2340.0,280.0,0.1196581196581196,3330800,Bayside Community Day,67124,Moreno Valley Unified,33,Riverside,33693.24711361687,Community Day School,103,66,0.6407766990291263,9,12,94,10.0,7.49,2.38,199.0,*,28,*,153,*,35590,"71,545",58,621,34.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321,1070,3331071,7272.0,628.0,0.0863586358635863,3331071,Vista del Lago High,67124,Moreno Valley Unified,33,Riverside,33693.24711361687,Traditional,2028,987,0.4866863905325443,9,12,1983,92.27,79.58,1.64,2146.0,104,274,32,1638,*,35590,"71,545",451,10714,315.0,8508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1322,1683,3333762,2352.0,204.0,0.086734693877551,3333762,March Mountain High,67124,Moreno Valley Unified,33,Riverside,33693.24711361687,Continuation School,257,212,0.8249027237354085,9,12,191,19.75,12.81,2.94,317.0,22,39,*,244,*,35590,"71,545",92,1642,52.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1323,1687,3333770,8476.0,596.0,0.070316186880604,3333770,Moreno Valley High,67124,Moreno Valley Unified,33,Riverside,33693.24711361687,Traditional,2209,1160,0.5251244907197827,9,12,2152,104.4,87.72,7.57,2390.0,69,275,28,1934,*,35590,"71,545",493,11006,338.0,9015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1324,896,5337456,1236.0,80.0,0.0647249190938511,5337456,Trinity High,76513,Trinity Alps Unified,53,Trinity,42429.97421360644,Traditional,315,139,0.4412698412698412,9,12,305,18.3,15.01,2.49,353.0,253,*,*,28,23,32164,"50,563",159,2438,69.0,1263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
