,Dcode,avg_dropout_rate,total_fund,CO Code,District,EDP 365,Current Expense ADA,Current Expense Per ADA,LEA Type,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30
47,62281,2.9166666666666665,81361756.2,10,LATON JT UNIF SCHOOL DISTRICT,"9,666,240.15",631.78,"15,300.01",Unified,10506,907,314,179,39,0,9,26,12,367,0,0,0,0,7154,6203,7,0,46,0,0,16,26,0,0,601,0,0,255,0,2445,0,1610,0,0,0,0,316,0,0,0,26,0,0,0,0,1,0,289,0
48,62331,62.790909090909096,24500011.1,10,ORANGE CENTER SCHOOL DISTRICT,"4,199,403.12",303.48,"13,837.50",Elementary,6026,447,167,69,22,0,0,1,104,106,0,0,0,0,4039,3173,2,0,21,0,0,0,234,0,0,503,0,0,106,0,1540,0,619,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,64,0
49,62364,5.602,158913871.42,10,PARLIER UNIFIED SCH DIST,"43,396,409.98","3,315.64","13,088.40",Unified,52965,6701,2784,690,250,0,55,0,281,2891,0,0,0,0,41998,37365,23,0,265,0,0,17,221,0,0,2904,0,0,1203,0,4266,0,1825,0,0,0,0,1309,344,0,0,71,0,0,0,0,15,0,300,0
50,62380,47.0195652173913,37718226.18,10,RAISIN CITY ELEM SCH DIST,"4,139,851.37",278.68,"14,855.22",Elementary,5116,678,256,60,28,0,0,21,6,335,0,0,0,0,3654,3201,3,0,19,0,0,0,28,0,0,403,0,0,0,0,784,0,669,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,69,0
51,62414,4.377837837837838,815501979.02,10,SANGER UNIF SCH DIST,"126,812,104.77","10,417.61","12,172.86",Unified,185761,14125,3531,1762,480,0,109,262,1728,6721,0,0,0,12,135292,110244,77,0,878,0,0,15,487,0,0,19543,0,0,4048,0,36344,0,21523,0,0,0,0,3968,522,88,0,482,0,0,0,0,81,0,1673,0
52,62430,5.962857142857143,308443592.78,10,SELMA UNIFIED SCH DIST,"83,968,563.15","6,099.85","13,765.68",Unified,98247,9284,2995,1432,553,0,74,160,514,4109,0,0,0,0,75551,62212,52,114,571,0,0,8,262,0,0,9860,0,0,2472,0,13412,0,7735,0,0,0,0,2469,784,0,0,301,0,0,0,17,21,0,361,0
53,62539,26.45,50828118.44,10,WEST PARK ELEM SCH DIST,"4,563,915.65",348.98,"13,077.87",Elementary,11048,627,175,86,16,0,0,2,11,353,0,0,0,0,9734,7768,4,0,47,0,0,0,20,527,0,1180,0,0,188,0,687,0,294,0,0,0,0,196,0,0,0,2,0,0,0,0,0,0,122,0
54,62547,17.1859375,55872883.339999996,10,WESTSIDE ELEM SCH DIST,"3,248,988.75",177.86,"18,267.11",Elementary,4370,369,144,44,10,0,0,19,12,150,0,0,0,0,3030,2441,3,0,13,0,0,0,8,0,0,485,0,0,80,0,971,0,801,0,0,0,0,0,0,0,0,2,0,0,0,40,17,0,45,0
55,62646,0.0,11046823.08,11,PRINCETON JT UNIFIED SCH DIST,"2,211,203.36",135.86,"16,275.60",Unified,2710,123,23,0,9,0,1,3,43,50,0,0,0,3,1091,861,1,0,11,0,0,5,4,0,0,149,0,0,60,0,1496,0,1424,0,0,0,0,0,0,0,0,12,0,0,0,0,7,0,26,0
56,62661,7.503125,76215014.44,11,WILLOWS UNIFIED SCH DIST,"13,541,257.01","1,380.38","9,809.80",Unified,18478,1157,363,0,57,0,14,39,95,611,0,0,0,35,11983,10477,8,0,146,0,0,24,47,0,0,820,0,0,461,0,5338,0,4810,0,0,0,0,0,0,0,0,36,0,0,0,6,36,0,169,0
