DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,CountyMedianIncome,MedianIncome
63214,Imperial,San Pasqual Valley Unified,541,88.8,25451,"25,230"
63222,Imperial,Seeley Union Elementary,363,92.4,25451,"43,929"
63230,Imperial,Westmorland Union Elementary,354,95.9,25451,"34,462"
63248,Inyo,Big Pine Unified,91,58.7,41156,"49,295"
63271,Inyo,Death Valley Unified,9,45,41156,"73,259"
63289,Inyo,Lone Pine Unified,212,65.4,41156,"35,811"
63297,Inyo,Owens Valley Unified,29,46,41156,"52,500"
63305,Inyo,Round Valley Joint Elementary,26,42.6,41156,"92,917"
76687,Inyo,Bishop Unified,1065,54.1,41156,"92,917"
63313,Kern,Arvin Union,2876,95.1,31594,"43,435"
63321,Kern,Bakersfield City,27205,92.8,31594,"44,750"
63339,Kern,Beardsley Elementary,1754,94.5,31594,"35,446"
63347,Kern,Belridge Elementary,23,92,31594,"70,833"
63354,Kern,Blake Elementary,5,22.7,31594,"84,750"
63362,Kern,Panama-Buena Vista Union,12452,68.2,31594,"77,415"
63370,Kern,Buttonwillow Union Elementary,281,91.2,31594,"46,875"
63388,Kern,Caliente Union Elementary,35,68.6,31594,"54,464"
63404,Kern,Delano Union Elementary,5055,79.1,31594,"47,613"
63412,Kern,Delano Joint Union High,3862,91.5,31594,"45,078"
63420,Kern,Di Giorgio Elementary,199,100,31594,"33,077"
63438,Kern,Edison Elementary,901,89,31594,"57,037"
63446,Kern,Elk Hills Elementary,142,83,31594,"49,583"
63461,Kern,Fairfax Elementary,2376,87.9,31594,"52,736"
63479,Kern,Fruitvale Elementary,1681,55,31594,"77,575"
63487,Kern,General Shafter Elementary,125,70.2,31594,"75,417"
63503,Kern,Greenfield Union,6492,69.6,31594,"56,981"
63529,Kern,Kern High,31394,74.1,31594,"59,921"
63545,Kern,Kernville Union Elementary,656,80.8,31594,"28,668"
63552,Kern,Lakeside Union,916,63.3,31594,"105,804"
63560,Kern,Lamont Elementary,2655,93.2,31594,"38,709"
63578,Kern,Richland Union Elementary,2772,81.8,31594,"52,266"
63586,Kern,Linns Valley-Poso Flat Union,6,40,31594,"44,881"
63594,Kern,Lost Hills Union Elementary,284,98.6,31594,"38,077"
63610,Kern,Maple Elementary,107,37.2,31594,"73,125"
63628,Kern,Maricopa Unified,6188,46.3,31594,"46,438"
63651,Kern,McKittrick Elementary,26,38.8,31594,"48,333"
63669,Kern,Midway Elementary,44,61.1,31594,"63,333"
63677,Kern,Mojave Unified,2439,85,31594,"44,994"
63685,Kern,Muroc Joint Unified,493,29.2,31594,"63,142"
63693,Kern,Norris Elementary,1051,26.8,31594,"121,168"
63719,Kern,Pond Union Elementary,157,95.7,31594,"35,833"
63750,Kern,Rosedale Union Elementary,1776,30.8,31594,"105,945"
63768,Kern,Semitropic Elementary,138,81.2,31594,"22,813"
63776,Kern,Southern Kern Unified,2813,83.6,31594,"68,932"
63784,Kern,South Fork Union,218,74.9,31594,"27,199"
63792,Kern,Standard Elementary,2565,88.1,31594,"46,308"
63800,Kern,Taft City,2030,87.4,31594,"46,741"
63818,Kern,Taft Union High,900,82.2,31594,"47,035"
63826,Kern,Tehachapi Unified,1483,37.3,31594,"75,469"
63834,Kern,Vineland Elementary,665,99.8,31594,31594
63842,Kern,Wasco Union Elementary,3114,90.1,31594,"40,870"
63859,Kern,Wasco Union High,1707,88.9,31594,"40,872"
73544,Kern,Rio Bravo-Greeley Union Elementary,459,46.3,31594,"119,152"
73742,Kern,Sierra Sands Unified,3119,63,31594,"73,457"
73908,Kern,McFarland Unified,3062,88.9,31594,"39,737"
75168,Kern,El Tejon Unified,437,62.5,31594,"45,719"
63875,Kings,Armona Union Elementary,1420,81.7,34046,"55,690"
63883,Kings,Central Union Elementary,745,41.8,34046,"58,613"
63891,Kings,Corcoran Joint Unified,3038,93.3,34046,"46,879"
63917,Kings,Hanford Elementary,4486,78.8,34046,"61,840"
63925,Kings,Hanford Joint Union High,2672,65.9,34046,"67,452"
63933,Kings,Island Union Elementary,176,44.2,34046,"81,125"
63941,Kings,Kings River-Hardwick Union Elementary,186,23.4,34046,"97,050"
63958,Kings,Kit Carson Union Elementary,1320,85.8,34046,"69,861"
63966,Kings,Lakeside Union Elementary,249,93.6,34046,"49,507"
63974,Kings,Lemoore Union Elementary,2246,69.6,34046,"71,684"
63982,Kings,Lemoore Union High,1305,55.7,34046,"66,756"
63990,Kings,Pioneer Union Elementary,886,57.5,34046,"101,121"
73932,Kings,Reef-Sunset Unified,2590,94.9,34046,"49,882"
64014,Lake,Kelseyville Unified,1230,70.5,32940,"57,549"
64022,Lake,Konocti Unified,3209,89.1,32940,"41,527"
64030,Lake,Lakeport Unified,1004,72.3,32940,"65,968"
64048,Lake,Lucerne Elementary,232,84.7,32940,"43,914"
64055,Lake,Middletown Unified,910,55,32940,"77,060"
76976,Lake,Upper Lake Unified,693,81.3,32940,"43,914"
64089,Lassen,Big Valley Joint Unified,81,69.2,44993,"43,514"
64105,Lassen,Janesville Union Elementary,164,42.5,44993,"68,862"
64113,Lassen,Johnstonville Elementary,83,46.6,44993,"82,679"
64139,Lassen,Lassen Union High,319,38.8,44993,"65,750"
64162,Lassen,Ravendale-Termo Elementary,11,91.7,44993,"33,906"
64170,Lassen,Richmond Elementary,23,10.9,44993,"92,250"
64188,Lassen,Shaffer Union Elementary,130,69.5,44993,"70,000"
64196,Lassen,Susanville Elementary,663,54.3,44993,"56,582"
64204,Lassen,Westwood Unified,144,76.2,44993,"43,007"
75036,Lassen,Fort Sage Unified,262,51.9,44993,"50,104"
64212,Los Angeles,ABC Unified,11659,59.7,35925,"94,771"
64246,Los Angeles,Antelope Valley Union High,16303,71.5,35925,"65,613"
64261,Los Angeles,Arcadia Unified,2513,28.1,35925,"103,059"
64279,Los Angeles,Azusa Unified,6187,84.4,35925,"76,351"
64287,Los Angeles,Baldwin Park Unified,12788,86.8,35925,"72,485"
64295,Los Angeles,Bassett Unified,2941,91.5,35925,"76,712"
64303,Los Angeles,Bellflower Unified,7904,73.7,35925,"74,562"
64311,Los Angeles,Beverly Hills Unified,572,17.3,35925,"103,725"
64329,Los Angeles,Bonita Unified,3563,36.8,35925,"96,517"
64337,Los Angeles,Burbank Unified,4890,33.3,35925,"82,246"
64345,Los Angeles,Castaic Union,602,32.4,35925,"122,519"
64352,Los Angeles,Centinela Valley Union High,5354,80.4,35925,"62,239"
64378,Los Angeles,Charter Oak Unified,2411,53.3,35925,"89,662"
64394,Los Angeles,Claremont Unified,1914,28.4,35925,"103,421"
64436,Los Angeles,Covina-Valley Unified,7738,68.3,35925,"82,022"
64444,Los Angeles,Culver City Unified,1914,27,35925,"105,346"
64451,Los Angeles,Downey Unified,14405,64.8,35925,"77,621"
64469,Los Angeles,Duarte Unified,3344,62.9,35925,"88,821"
64477,Los Angeles,Eastside Union Elementary,3011,95.1,35925,"51,618"
64485,Los Angeles,East Whittier City Elementary,4157,50.5,35925,"94,971"
64501,Los Angeles,El Monte City,6955,91.6,35925,"62,298"
64519,Los Angeles,El Monte Union High,7583,90.7,35925,"61,748"
64527,Los Angeles,El Rancho Unified,5731,71.8,35925,"77,842"
64535,Los Angeles,El Segundo Unified,483,14,35925,"126,683"
64550,Los Angeles,Garvey Elementary,3235,73,35925,"59,654"
64568,Los Angeles,Glendale Unified,11499,46.1,35925,"76,589"
64576,Los Angeles,Glendora Unified,1875,27.4,35925,"105,930"
64584,Los Angeles,Gorman Joint,627,48.2,35925,35925
64592,Los Angeles,Hawthorne,6754,89.1,35925,"57,888"
64600,Los Angeles,Hermosa Beach City Elementary,69,5.8,35925,"144,388"
64626,Los Angeles,Hughes-Elizabeth Lakes Union Elementary,90,50.6,35925,"82,500"
64634,Los Angeles,Inglewood Unified,8216,84.8,35925,"65,374"
64642,Los Angeles,Keppel Union Elementary,2425,85.2,35925,"59,400"
64659,Los Angeles,La Canada Unified,192,4.8,35925,"192,500"
64667,Los Angeles,Lancaster Elementary,13006,88.2,35925,"59,416"
64683,Los Angeles,Las Virgenes Unified,1242,12.1,35925,"147,151"
64691,Los Angeles,Lawndale Elementary,4795,87.7,35925,"73,361"
64709,Los Angeles,Lennox,6151,95.7,35925,"49,378"
64717,Los Angeles,Little Lake City Elementary,2830,69.4,35925,"87,416"
64725,Los Angeles,Long Beach Unified,45233,64.9,35925,"74,188"
64733,Los Angeles,Los Angeles Unified,469179,81.6,35925,"69,016"
64758,Los Angeles,Los Nietos,1079,78.2,35925,"72,276"
64766,Los Angeles,Lowell Joint,1211,38.6,35925,"103,058"
64774,Los Angeles,Lynwood Unified,12126,94.8,35925,"61,760"
64790,Los Angeles,Monrovia Unified,3074,58.6,35925,"88,701"
64808,Los Angeles,Montebello Unified,18752,81.2,35925,"63,574"
64816,Los Angeles,Mountain View Elementary,5613,97,35925,"53,981"
64832,Los Angeles,Newhall,2440,41.2,35925,"106,368"
64840,Los Angeles,Norwalk-La Mirada Unified,11633,71.8,35925,"87,158"
64857,Los Angeles,Palmdale Elementary,19053,89,35925,"63,380"
64865,Los Angeles,Palos Verdes Peninsula Unified,798,7.6,35925,"165,189"
64873,Los Angeles,Paramount Unified,12668,92.1,35925,"63,454"
64881,Los Angeles,Pasadena Unified,10768,64.2,35925,"95,615"
64907,Los Angeles,Pomona Unified,20500,91.6,35925,"72,287"
64931,Los Angeles,Rosemead Elementary,1812,77.4,35925,"72,924"
64964,Los Angeles,San Marino Unified,221,7.8,35925,"165,500"
64980,Los Angeles,Santa Monica-Malibu Unified,2235,22.5,35925,"106,705"
64998,Los Angeles,Saugus Union,2195,24.2,35925,"123,241"
65029,Los Angeles,South Pasadena Unified,763,16.2,35925,"115,088"
65037,Los Angeles,South Whittier Elementary,2075,84.9,35925,"80,144"
65045,Los Angeles,Sulphur Springs Union,2591,51.1,35925,"91,472"
65052,Los Angeles,Temple City Unified,2451,44.7,35925,"88,832"
65060,Los Angeles,Torrance Unified,6625,29.5,35925,"100,852"
