,SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName
1934678,1934678,Lakewood High,64725,Long Beach Unified,19,Los Angeles
3630423,3630423,Apple Valley High,75077,Apple Valley Unified,36,San Bernardino
3638616,3638616,Yucca Valley High,67777,Morongo Unified,36,San Bernardino
730457,730457,Freedom High,61721,Liberty Union High,7,Contra Costa
730465,730465,Deer Valley High,61648,Antioch Unified,7,Contra Costa
3630456,3630456,Hillside High,75069,Upland Unified,36,San Bernardino
1934728,1934728,La Mirada High,64840,Norwalk-La Mirada Unified,19,Los Angeles
3630472,3630472,Mojave High,75044,Hesperia Unified,36,San Bernardino
2131340,2131340,Sir Francis Drake High,65482,Tamalpais Union High,21,Marin
107920,107920,Lakeside High,75176,Lake Elsinore Unified,33,Riverside
3630480,3630480,Citrus High (Continuation),67710,Fontana Unified,36,San Bernardino
435602,435602,Oroville High,61515,Oroville Union High,4,Butte
1533330,1533330,Highland High,63529,Kern High,15,Kern
4130217,4130217,Aragon High,69047,San Mateo Union High,41,San Mateo
730549,730549,Alhambra Senior High,61739,Martinez Unified,7,Contra Costa
3032505,3032505,Fullerton Union High,66514,Fullerton Joint Union High,30,Orange
3630522,3630522,Ruben S. Ayala High,67678,Chino Valley Unified,36,San Bernardino
3630530,3630530,Zupanic High,67850,Rialto Unified,36,San Bernardino
132548,132548,IDEA Center,68130,Grossmont Union High,37,San Diego
124362,124362,Valley Academy of Arts and Sciences,64733,Los Angeles Unified,19,Los Angeles
132555,132555,Conservatory of Vocal/Instrumental Arts High,61259,Oakland Unified,1,Alameda
730572,730572,Independence High,61721,Liberty Union High,7,Contra Costa
1934801,1934801,La Puente High,73445,Hacienda la Puente Unified,19,Los Angeles
124370,124370,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,64733,Los Angeles Unified,19,Los Angeles
5432786,5432786,Monache High,75523,Porterville Unified,54,Tulare
5031380,5031380,Grace M. Davis High,71175,Modesto City High,50,Stanislaus
3630555,3630555,Fontana A. B. Miller High,67710,Fontana Unified,36,San Bernardino
1033695,1033695,Kingsburg High,62257,Kingsburg Joint Union High,10,Fresno
3630563,3630563,Lucerne Valley High,75051,Lucerne Valley Unified,36,San Bernardino
1730019,1730019,Natural High (Continuation),64030,Lakeport Unified,17,Lake
124388,124388,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,64733,Los Angeles Unified,19,Los Angeles
730598,730598,Hercules High,61796,West Contra Costa Unified,7,Contra Costa
1033703,1033703,Kings Canyon Continuation,62265,Kings Canyon Joint Unified,10,Fresno
3630571,3630571,Rancho Cucamonga High,67652,Chaffey Joint Union High,36,San Bernardino
1730027,1730027,Carle (William C.) High (Continuation),64022,Konocti Unified,17,Lake
124396,124396,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),64733,Los Angeles Unified,19,Los Angeles
1730035,1730035,Loconoma Valley High,64055,Middletown Unified,17,Lake
124404,124404,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,64733,Los Angeles Unified,19,Los Angeles
1730043,1730043,Ed Donaldson Education Center,64014,Kelseyville Unified,17,Lake
5432828,5432828,Mt. Whitney High,72256,Visalia Unified,54,Tulare
1033729,1033729,Oasis Continuation High,62257,Kingsburg Joint Union High,10,Fresno
1730050,1730050,Clover Valley High (Continuation),76976,Upper Lake Unified,17,Lake
3630597,3630597,Rialto High,67850,Rialto Unified,36,San Bernardino
4032009,4032009,Coast Union High,75465,Coast Unified,40,San Luis Obispo
4630034,4630034,Sierra Pass (Continuation),70177,Sierra-Plumas Joint Unified,46,Sierra
1934868,1934868,La Serna High,65128,Whittier Union High,19,Los Angeles
4130324,4130324,Baden High (Continuation),69070,South San Francisco Unified,41,San Mateo
108076,108076,Central Valley High,71043,Ceres Unified,50,Stanislaus
108084,108084,Whitney High,75085,Rocklin Unified,31,Placer
108092,108092,Orange Cove High,62265,Kings Canyon Joint Unified,10,Fresno
116285,116285,Redondo Beach Learning Academy,75341,Redondo Beach Unified,19,Los Angeles
124479,124479,Dr. Maya Angelou Community High,64733,Los Angeles Unified,19,Los Angeles
124487,124487,Public Service Community at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles
1132109,1132109,Elk Creek Junior-Senior High,62653,Stony Creek Joint Unified,11,Glenn
1934926,1934926,Lawndale High,64352,Centinela Valley Union High,19,Los Angeles
124495,124495,Communication and Technology at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles
132688,132688,Dewey Academy,61259,Oakland Unified,1,Alameda
3335759,3335759,Palo Verde High,67181,Palo Verde Unified,33,Riverside
124503,124503,Diego Rivera Learning Complex Green Design STEAM Academy,64733,Los Angeles Unified,19,Los Angeles
124511,124511,Performing Arts Community at Diego Rivera Learning Complex,64733,Los Angeles Unified,19,Los Angeles
132704,132704,Dublin High,75093,Dublin Unified,1,Alameda
3933793,3933793,Village Oaks High,68569,Lincoln Unified,39,San Joaquin
1533538,1533538,Kern Valley High,63529,Kern High,15,Kern
5031521,5031521,Denair High,71068,Denair Unified,50,Stanislaus
4335204,4335204,Oak Grove High,69427,East Side Union High,43,Santa Clara
3630696,3630696,Mountain View High,75051,Lucerne Valley Unified,36,San Bernardino
3933801,3933801,Lincoln High,68569,Lincoln Unified,39,San Joaquin
3630712,3630712,Central High (Continuation),67611,Barstow Unified,36,San Bernardino
108159,108159,Cesar Chavez High,68676,Stockton Unified,39,San Joaquin
124552,124552,Applied Technology Center,64808,Montebello Unified,19,Los Angeles
132746,132746,Emery Secondary,61168,Emery Unified,1,Alameda
124560,124560,Synergy Quantum Academy,64733,Los Angeles Unified,19,Los Angeles
116368,116368,Mission Oak High,72249,Tulare Joint Union High,54,Tulare
5637780,5637780,Mary B. Perry High,32276,California Education Authority (CEA) Headquarters,34,Sacramento
116376,116376,Lathrop High,68593,Manteca Unified,39,San Joaquin
3630746,3630746,Sultana High,75044,Hesperia Unified,36,San Bernardino
108191,108191,Summit High,67710,Fontana Unified,36,San Bernardino
116384,116384,Robert F. Kennedy High,63412,Delano Joint Union High,15,Kern
116392,116392,Independence High,63529,Kern High,15,Kern
4130472,4130472,Burlingame High,69047,San Mateo Union High,41,San Mateo
116400,116400,Mira Monte High,63529,Kern High,15,Kern
3032752,3032752,Garden Grove High,66522,Garden Grove Unified,30,Orange
3630779,3630779,Redlands East Valley High,67843,Redlands Unified,36,San Bernardino
4531901,4531901,Central Valley High,75267,Gateway Unified,45,Shasta
5637822,5637822,Ventura High,72652,Ventura Unified,56,Ventura
108225,108225,Ronald E. McNair High,68585,Lodi Unified,39,San Joaquin
3630787,3630787,Silverado High,67934,Victor Valley Union High,36,San Bernardino
1935048,1935048,Leuzinger High,64352,Centinela Valley Union High,19,Los Angeles
3032786,3032786,Gilbert High (Continuation),66431,Anaheim Union High,30,Orange
3630803,3630803,Barstow High,67611,Barstow Unified,36,San Bernardino
1033950,1033950,Laton High,62281,Laton Joint Unified,10,Fresno
100065,100065,Oakland Unity High,61259,Oakland Unified,1,Alameda
116459,116459,Antelope High,66928,Roseville Joint Union High,31,Placer
730861,730861,Antioch High,61648,Antioch Unified,7,Contra Costa
100081,100081,William J. (Pete) Knight High,64246,Antelope Valley Union High,19,Los Angeles
3630845,3630845,Chaffey Community Day,67652,Chaffey Joint Union High,36,San Bernardino
3933959,3933959,Linden High,68577,Linden Unified,39,San Joaquin
116491,116491,Open Door Charter,10272,Monterey County Office of Education,27,Monterey
1935121,1935121,Abraham Lincoln Senior High,64733,Los Angeles Unified,19,Los Angeles
2230035,2230035,Spring Hill High (Continuation),65532,Mariposa County Unified,22,Mariposa
116509,116509,Alliance Morgan McKinzie High,64733,Los Angeles Unified,19,Los Angeles
5130018,5130018,Albert Powell Continuation,71464,Yuba City Unified,51,Sutter
3335973,3335973,Perris High,67207,Perris Union High,33,Riverside
3737384,3737384,Sunset High (Continuation),68346,San Dieguito Union High,37,San Diego
132910,132910,College and Career Preparatory Academy,10306,Orange County Department of Education,30,Orange
3630894,3630894,Granite Hills High,75077,Apple Valley Unified,36,San Bernardino
1337138,1337138,Sam Webb Continuation,63149,Holtville Unified,13,Imperial
3630902,3630902,Henry J. Kaiser High,67710,Fontana Unified,36,San Bernardino
124727,124727,Kingsburg Independent Study High,62257,Kingsburg Joint Union High,10,Fresno
5130042,5130042,Butte View High,71449,Sutter Union High,51,Sutter
2230076,2230076,Coulterville High,65532,Mariposa County Unified,22,Mariposa
2230084,2230084,Yosemite Park High,65532,Mariposa County Unified,22,Mariposa
