SchoolCode,TotalCourses,TotalEnrollment,UCCSUCourses,UCCSUEnrollment,StaffACourses,StaffAEnrollment,StaffBCourses,StaffBEnrollment,StaffNCourses,StaffNEnrollment,NCLBCoreCourses,NCLBEnrollment
3635042,715,13749,377.0,10555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3635265,284,5514,142.0,3394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3635844,463,11155,278.0,7878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3636081,498,12374,351.0,9438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3636131,85,1612,49.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3636743,298,5092,147.0,3152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3637584,698,18890,506.0,15532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3637659,296,4257,22.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3638012,388,10416,251.0,7892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3638509,677,16655,474.0,13407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3638616,557,8081,311.0,5467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730017,22,357,17.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730058,494,13037,367.0,10141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730066,537,11795,376.0,9631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730074,407,8975,264.0,7269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730124,653,11228,423.0,8884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730173,326,8714,257.0,7320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730181,513,14344,398.0,11910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730314,369,10956,292.0,9160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730405,657,13633,464.0,10772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730447,66,720,11.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730694,475,13961,361.0,11595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730702,478,9994,317.0,8274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730728,483,12498,368.0,9794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730801,507,10064,344.0,7318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730819,337,8924,229.0,7340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730843,760,17440,585.0,14606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730884,469,13072,376.0,11168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730934,38,144,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3730967,169,459,133.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731023,514,5227,211.0,3050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731056,200,2881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731064,821,17793,587.0,13829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731114,327,7019,158.0,4620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731163,47,396,36.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731213,199,4575,136.0,3563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731247,84,1614,83.0,1608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731262,320,7741,215.0,6396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731304,165,1254,127.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731312,33,335,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731478,358,7337,195.0,5316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731486,36,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731502,672,15077,458.0,11486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731528,356,9384,244.0,7695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731536,7,236,4.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731627,605,14320,472.0,11816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731692,558,10026,287.0,6470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3731809,520,9869,310.0,7631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732039,57,600,33.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732054,70,1393,45.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732062,502,13435,360.0,10011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732179,433,11099,334.0,9375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732195,37,450,8.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732336,700,13228,396.0,10372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732559,40,294,18.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732625,490,12850,331.0,9855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732732,318,9424,191.0,5878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732781,523,14458,430.0,12717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732849,586,12702,438.0,10177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3732997,404,11609,280.0,8845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3733219,61,620,40.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
