SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,TotalFTE,ClearFTE,OtherFTE
5031802,Thomas Downey High,71175,Modesto City High,50,Stanislaus,85.69,70.81,9.38
3434370,Highlands High,76505,Twin Rivers Unified,34,Sacramento,35.88,33.56,1.64
1632140,Kings Lake Education Center,63891,Corcoran Joint Unified,16,Kings,1.01,0,1.01
1935246,Los Altos High,73445,Hacienda la Puente Unified,19,Los Angeles,70.6,63.4,1.09
5433230,Orosi High,71860,Cutler-Orosi Joint Unified,54,Tulare,48.41,32.79,13.78
133009,Brenkwitz High,61192,Hayward Unified,1,Alameda,13.58,9.89,2.49
1533843,Maricopa High,63628,Maricopa Unified,15,Kern,9,4,4.99
100255,Desert Mirage High,73676,Coachella Valley Unified,33,Riverside,89.11,79.48,6.09
116640,Dunlap Leadership Academy,62265,Kings Canyon Joint Unified,10,Fresno,4.1,2.65,1.45
124834,Sierra Academy of Expeditionary Learning,66357,Nevada Joint Union High,29,Nevada,12.48,7.98,3.67
3631017,Chino Hills High,67678,Chino Valley Unified,36,San Bernardino,106.35,98.12,5.35
4130738,Capuchino High,69047,San Mateo Union High,41,San Mateo,59.19,47.78,7.29
1632207,Corcoran High,63891,Corcoran Joint Unified,16,Kings,40.64,32.27,3.96
3631058,Los Osos High,67652,Chaffey Joint Union High,36,San Bernardino,117.12,106.84,8.48
3631066,Big Bear High,67637,Bear Valley Unified,36,San Bernardino,32.84,21.9,9.13
124891,Alliance Renee and Meyer Luskin Academy High,64733,Los Angeles Unified,19,Los Angeles,24.4,21.58,2.38
3033057,Katella High,66431,Anaheim Union High,30,Orange,101.96,73.49,14.66
1034214,McLane High,62166,Fresno Unified,10,Fresno,75.15,60.95,10.69
4835302,Rio Vista High,67413,River Delta Joint Unified,34,Sacramento,24.04,19.35,3.55
3631082,Arroyo Valley High,67876,San Bernardino City Unified,36,San Bernardino,110.73,95.5,6.58
3631090,Middle College High,67876,San Bernardino City Unified,36,San Bernardino,10.05,8.71,1.34
731125,Campolindo High,61630,Acalanes Union High,7,Contra Costa,68.7,64.28,4.41
1935352,Los Angeles Senior High,64733,Los Angeles Unified,19,Los Angeles,54.82,38.38,13.5
100354,Hawthorne Math and Science Academy,64592,Hawthorne,19,Los Angeles,25.8,23,0
124933,PUC Early College Academy for Leaders and Scholars (ECALS),64733,Los Angeles Unified,19,Los Angeles,16.01,11.24,4.76
108555,Design Science Middle College High,62166,Fresno Unified,10,Fresno,7.22,7.22,0
124941,Alliance Margaret M. Bloomfield Technology Academy High,64733,Los Angeles Unified,19,Los Angeles,27.79,22.7,4.88
5031950,East Stanislaus High,75564,Oakdale Joint Unified,50,Stanislaus,4.1,4.1,0
3033115,John F. Kennedy High,66431,Anaheim Union High,30,Orange,89.05,67.17,10.01
3737632,San Marcos High,73791,San Marcos Unified,37,San Diego,120.78,95.88,24.49
2730018,Carmel Valley High,65987,Carmel Unified,27,Monterey,3.2,2.6,0.6
3336237,Polytechnic High,67215,Riverside Unified,33,Riverside,99.08,84.44,6.91
2730034,North Monterey County High,73825,North Monterey County Unified,27,Monterey,62.37,26.04,19.66
3631157,Colony High,67652,Chaffey Joint Union High,36,San Bernardino,89.91,81.83,4.8
124990,Urban Corps of San Diego County Charter,10264,Mono County Office of Education,26,Mono,12.01,4.72,7.32
1935428,Vista High,64774,Lynwood Unified,19,Los Angeles,12.67,8.57,3.1
100420,Vista Murrieta High,75200,Murrieta Valley Unified,33,Riverside,139.06,117.05,9.62
1935436,Lynwood High,64774,Lynwood Unified,19,Los Angeles,89.02,69.04,12.74
125021,Minarets Charter High,75606,Chawanakee Unified,20,Madera,14.96,11.64,3.33
2730083,Portola-Butler Continuation High,66068,South Monterey County Joint Union High,27,Monterey,3.7,2.66,1.04
5630066,Frontier High,72546,Oxnard Union High,56,Ventura,23.21,18.41,4.39
