DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,MedianIncome
66340,Nevada,Nevada City Elementary,218,31.3,41039
66357,Nevada,Nevada Joint Union High,1025,38.2,41039
66373,Nevada,Pleasant Ridge Union Elementary,356,28.6,41039
66407,Nevada,Union Hill Elementary,294,42.5,41039
66415,Nevada,Twin Ridges Elementary,69,84.1,41039
76877,Nevada,Penn Valley Union Elementary,279,49.5,41039
66423,Orange,Anaheim Elementary,13969,86.4,43800
66431,Orange,Anaheim Union High,23142,79.3,43800
66449,Orange,Brea-Olinda Unified,1636,27.3,43800
66456,Orange,Buena Park Elementary,3088,74.7,43800
66464,Orange,Capistrano Unified,13426,26.6,43800
66472,Orange,Centralia Elementary,2253,55.7,43800
66480,Orange,Cypress Elementary,1146,32.4,43800
66498,Orange,Fountain Valley Elementary,1495,24.2,43800
66506,Orange,Fullerton Elementary,6017,49.6,43800
66514,Orange,Fullerton Joint Union High,5879,43.6,43800
66522,Orange,Garden Grove Unified,29020,72.3,43800
66530,Orange,Huntington Beach City Elementary,1096,19.6,43800
66548,Orange,Huntington Beach Union High,5637,36.3,43800
66555,Orange,Laguna Beach Unified,315,12.0,43800
66563,Orange,La Habra City Elementary,3051,67.2,43800
66589,Orange,Magnolia Elementary,4508,83.7,43800
66597,Orange,Newport-Mesa Unified,8875,47.8,43800
66613,Orange,Ocean View,4150,56.6,43800
66621,Orange,Orange Unified,12227,45.4,43800
66647,Orange,Placentia-Yorba Linda Unified,11058,45.5,43800
66670,Orange,Santa Ana Unified,40700,87.4,43800
66696,Orange,Savanna Elementary,1283,65.8,43800
66746,Orange,Westminster,5904,68.6,43800
73635,Orange,Saddleback Valley Unified,7542,30.2,43800
73643,Orange,Tustin Unified,9199,40.4,43800
73650,Orange,Irvine Unified,6783,19.0,43800
73924,Orange,Los Alamitos Unified,1555,16.7,43800
66761,Placer,Ackerman Charter,156,27.3,57440
66779,Placer,Alta-Dutch Flat Union Elementary,35,42.7,57440
66787,Placer,Auburn Union Elementary,991,56.9,57440
66795,Placer,Colfax Elementary,147,43.0,57440
66803,Placer,Dry Creek Joint Elementary,2499,39.4,57440
66829,Placer,Eureka Union,410,13.0,57440
66837,Placer,Foresthill Union Elementary,149,38.0,57440
66845,Placer,Loomis Union Elementary,388,13.6,57440
66852,Placer,Newcastle Elementary,249,12.2,57440
66886,Placer,Placer Hills Union Elementary,194,27.0,57440
66894,Placer,Placer Union High,922,22.6,57440
66910,Placer,Roseville City Elementary,3118,28.3,57440
66928,Placer,Roseville Joint Union High,3572,29.5,57440
66944,Placer,Tahoe-Truckee Unified,1719,41.3,57440
66951,Placer,Western Placer Unified,3838,36.1,57440
75085,Placer,Rocklin Unified,2379,17.9,57440
66969,Plumas,Plumas Unified,1240,60.9,37225
66977,Riverside,Alvord Unified,13595,76.9,35590
66985,Riverside,Banning Unified,4088,92.1,35590
66993,Riverside,Beaumont Unified,7953,53.4,35590
67033,Riverside,Corona-Norco Unified,22848,44.5,35590
67041,Riverside,Desert Center Unified,17,85.0,35590
67058,Riverside,Desert Sands Unified,18827,69.8,35590
67082,Riverside,Hemet Unified,18848,87.4,35590
67090,Riverside,Jurupa Unified,14323,76.3,35590
67116,Riverside,Menifee Union Elementary,5653,46.6,35590
67124,Riverside,Moreno Valley Unified,25870,81.9,35590
67157,Riverside,Nuview Union,1668,77.3,35590
67173,Riverside,Palm Springs Unified,21170,97.5,35590
67181,Riverside,Palo Verde Unified,2728,71.7,35590
67199,Riverside,Perris Elementary,4441,81.6,35590
67207,Riverside,Perris Union High,8451,77.5,35590
67215,Riverside,Riverside Unified,28523,71.2,35590
67231,Riverside,Romoland Elementary,2934,72.2,35590
67249,Riverside,San Jacinto Unified,9352,81.6,35590
73676,Riverside,Coachella Valley Unified,16350,93.2,35590
75176,Riverside,Lake Elsinore Unified,14100,66.9,35590
75192,Riverside,Temecula Valley Unified,8076,28.5,35590
75200,Riverside,Murrieta Valley Unified,8287,36.1,35590
75242,Riverside,Val Verde Unified,16345,84.7,35590
67280,Sacramento,Arcohe Union Elementary,187,40.1,43348
67314,Sacramento,Elk Grove Unified,31224,48.8,43348
67322,Sacramento,Elverta Joint Elementary,151,55.7,43348
67330,Sacramento,Folsom-Cordova Unified,6251,31.1,43348
