SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,Latitude,Longitude
437350,Paradise Senior High,61531,Paradise Unified,4,Butte,39.76122,-121.61358
1936491,Nueva Vista Continuation High,64295,Bassett Unified,19,Los Angeles,34.05247,-117.97208
2731115,Community High (Continuation),66134,Pacific Grove Unified,27,Monterey,36.60569,-121.92987
134254,Pinnacle Academy Charter - Independent Study,66068,South Monterey County Joint Union High,27,Monterey,36.20971,-121.13429
1535087,Shafter High,63529,Kern High,15,Kern,35.50843,-119.2684
134270,Irvington High,61176,Fremont Unified,1,Alameda,37.5240200000001,-121.96631
1133701,Hamilton High,76562,Hamilton Unified,11,Glenn,39.74591,-122.01954
117911,New Millennium Secondary,64733,Los Angeles Unified,19,Los Angeles,33.867695,-118.29545
5434527,Redwood High,72256,Visalia Unified,54,Tulare,36.32904,-119.3038
134304,Island High (Continuation),61119,Alameda Unified,1,Alameda,37.77613,-122.28151
4730024,Discovery High,70516,Yreka Union High,47,Siskiyou,41.74115,-122.63765
126136,Math and Science College Preparatory,64733,Los Angeles Unified,19,Los Angeles,34.031709,-118.319444
1232057,Zoe Barnum High,75515,Eureka City Schools,12,Humboldt,40.78082,-124.17342
101576,Weston Ranch High,68593,Manteca Unified,39,San Joaquin,37.90167,-121.30746
134346,Intellectual Virtues Academy,10199,Los Angeles County Office of Education,19,Los Angeles,33.78813,-118.18992
117994,YouthBuild Charter School of California,10140,Inyo County Office of Education,14,Inyo,34.03206,-118.2663
134379,Imperial Pathways Charter,10132,Imperial County Office of Education,13,Imperial,32.75007,-115.56317
1936624,Palmdale High,64246,Antelope Valley Union High,19,Los Angeles,34.57433,-118.08893
4730107,Scott River High,76455,Scott Valley Unified,47,Siskiyou,41.45991,-122.89986
2133254,Madrone High Continuation,65466,San Rafael City High,21,Marin,37.97145,-122.51397
3730694,Carlsbad High,73551,Carlsbad Unified,37,San Diego,33.16366,-117.3293
2133262,San Rafael High,65466,San Rafael City High,21,Marin,37.97095,-122.5135
3730702,West Hills High,68130,Grossmont Union High,37,San Diego,32.84785,-117.01574
101659,"CATCH Prep Charter High, Inc.",64733,Los Angeles Unified,19,Los Angeles,34.00934,-118.32915
126243,Chaffey District Online High,67652,Chaffey Joint Union High,36,San Bernardino,34.08756,-117.61384
3730728,Rancho Buena Vista High,68452,Vista Unified,37,San Diego,33.16388,-117.24756
3034410,Marina High,66548,Huntington Beach Union High,30,Orange,33.73181,-118.02634
101675,Oscar De La Hoya Animo Charter High,64733,Los Angeles Unified,19,Los Angeles,34.02337,-118.20342
4730156,Yreka Union High Community Day,70516,Yreka Union High,47,Siskiyou,41.73845,-122.63762
2633006,Coleville High,73668,Eastern Sierra Unified,26,Mono,38.5683,-119.50899
134452,John F. Kennedy High,61176,Fremont Unified,1,Alameda,37.52911,-121.98647
437558,Pleasant Valley High,61424,Chico Unified,4,Butte,39.76074,-121.81633
1035575,Riverdale High,75408,Riverdale Joint Unified,10,Fresno,36.43175,-119.85533
4230454,Cabrillo High,69229,Lompoc Unified,42,Santa Barbara,34.71228,-120.4741
437566,Prospect High (Continuation),61515,Oroville Union High,4,Butte,39.52149,-121.56808
109900,Vista Real Charter High,10561,Ventura County Office of Education,56,Ventura,34.19853,-119.17914
1232206,Eureka Senior High,75515,Eureka City Schools,12,Humboldt,40.78932,-124.15821
126292,Reedley Middle College High,62265,Kings Canyon Joint Unified,10,Fresno,36.60543,-119.46101
101725,Grizzly ChalleNGe Charter,10405,San Luis Obispo County Office of Education,40,San Luis Obispo,35.32419,-120.72958
3730793,Foothills High,73791,San Marcos Unified,37,San Diego,33.18015,-117.15877
1936749,Paramount High,64873,Paramount Unified,19,Los Angeles,33.90123,-118.15257
3730801,Castle Park Senior High,68411,Sweetwater Union High,37,San Diego,32.60696,-117.05164
1936756,Buena Vista High,64873,Paramount Unified,19,Los Angeles,33.85789,-118.14779
118133,Five Keys Adult School (SF Sheriff's),68478,San Francisco Unified,38,San Francisco,37.77716,-122.40215
109942,Los Angeles College Prep Academy,77289,SBE - Los Angeles College Prep Academy,19,Los Angeles,34.10294,-118.18255
3632502,Chino High,67678,Chino Valley Unified,36,San Bernardino,34.02266,-117.683
118141,Five Keys Independence HS (SF Sheriff's),68478,San Francisco Unified,38,San Francisco,37.77717,-122.40214
134528,Lincoln High (Continuation),61291,San Leandro Unified,1,Alameda,37.70873,-122.1599
3730819,Rancho Bernardo High,68296,Poway Unified,37,San Diego,32.9954,-117.06622
1936772,Park West High (Continuation),64907,Pomona Unified,19,Los Angeles,34.06075,-117.72044
134536,Livermore High,61200,Livermore Valley Joint Unified,1,Alameda,37.68072,-121.76144
3739018,El Camino High,73569,Oceanside Unified,37,San Diego,33.21868,-117.31735
101774,Five Keys Charter (SF Sheriff's),68478,San Francisco Unified,38,San Francisco,37.62757,-122.4599
3739026,Surfside High (Continuation),73569,Oceanside Unified,37,San Diego,33.185144,-117.368106
3435930,Mira Loma High,67447,San Juan Unified,34,Sacramento,38.63302,-121.37039
3730843,Eastlake High,68411,Sweetwater Union High,37,San Diego,32.640351,-116.96758
1535392,South High,63529,Kern High,15,Kern,35.323711,-119.01455
1936806,Rose City High (Continuation),64881,Pasadena Unified,19,Los Angeles,34.13988,-118.13403
2330033,Round Valley Continuation,65607,Round Valley Unified,23,Mendocino,39.79219,-123.25619
3337649,Mountain View High,67249,San Jacinto Unified,33,Riverside,33.79563,-116.97726
1936822,Pasadena High,64881,Pasadena Unified,19,Los Angeles,34.16254,-118.09249
3337656,San Jacinto High,67249,San Jacinto Unified,33,Riverside,33.79428,-116.9675
134585,Pathways Academy Charter Adult Education,75309,Acton-Agua Dulce Unified,19,Los Angeles,33.14169,-117.16213
2330041,Potter Valley High,73866,Potter Valley Community Unified,23,Mendocino,39.32147,-123.10502
4230587,Carpinteria Senior High,69146,Carpinteria Unified,42,Santa Barbara,34.41036,-119.51665
3730884,Scripps Ranch High,68338,San Diego Unified,37,San Diego,32.90774,-117.11229
2330058,Rancheria Continuation,65540,Anderson Valley Unified,23,Mendocino,39.02938,-123.38808
2330090,Mendocino Sunrise High,65581,Mendocino Unified,23,Mendocino,39.30813,-123.80151
4935151,Petaluma High,70862,Petaluma Joint Union High,49,Sonoma,38.22714,-122.64615
3730934,Campo High (Continuation),68213,Mountain Empire Unified,37,San Diego,32.73385,-116.49281
